State,x,y
Andhra Pradesh,-99.0,-114.0
Arunachal Pradesh,222.0,127.0
Assam,192.0,99.0
Bihar,51.0,80.0
Chattisgarh,-18.0,5.0
Goa,-181.0,-113.0
Gujarat,-246.0,39.0
Haryana,-132.0,145.0
Himachal Pradesh,-113.0,197.0
Jharkhand,36.0,44.0
Karnataka,-165.0,-119.0
Kerala,-138.0,-195.0
Madhya Pradesh,-135.0,31.0
Maharashtra,-184.0,-39.0
Manipur,233.0,68.0
Meghalaya,156.0,76.0
Mizoram,207.0,32.0
Nagaland,243.0,97.0
Odisha,18.0,-15.0
Punjab,-163.0,178.0
Rajasthan,-237.0,103.0
Sikkim,114.0,116.0
Tamil Nadu,-109.0,-184.0
Telangana,-97.0,-60.0
Tripura,185.0,50.0
Uttar Pradesh,-82.0,115.0
Uttarakhand,-87.0,175.0
West Bengal,86.0,38.0
